month,cumulative_confirmed
2020 Jan,0.0
2020 Feb,0.0
2020 Mar,1.0
2020 Apr,429.0
2020 May,747.0
2020 Jun,844.0
2020 Jul,855.0
2020 Aug,936.0
2020 Sep,1199.0
2020 Oct,2110.0
2020 Nov,4888.0
2020 Dec,6842.0
2021 Jan,8166.0
2021 Feb,10017.0
2021 Mar,10908.0
2021 Apr,12115.0
2021 May,13282.0
2021 Jun,13744.0
2021 Jul,13918.0
2021 Aug,14747.0
2021 Sep,15052.0
2021 Oct,15222.0
2021 Nov,15516.0
2021 Dec,17658.0
2022 Jan,23740.0
2022 Feb,36315.0
2022 Mar,38249.0
2022 Apr,40024.0
2022 May,41349.0
2022 Jun,43067.0
2022 Jul,44177.0
2022 Aug,45508.0
2022 Sep,46027.0
2022 Dec,103487.0
